Model,Learning Rate,Epochs,Weight Decay,Hidden Channels,Test MSE
GCN,0.5,50,0.005,16,7654.29345703125
GAT,0.5,50,0.005,16,3841189.25
GraphSAGE,0.5,50,0.005,16,7768.63232421875
GIN,0.5,50,0.005,16,7527.9140625
GCN,0.5,50,0.005,32,7680.6552734375
GAT,0.5,50,0.005,32,244186144.0
GraphSAGE,0.5,50,0.005,32,7766.94384765625
GIN,0.5,50,0.005,32,7476.74853515625
GCN,0.5,50,0.005,64,7711.4013671875
GAT,0.5,50,0.005,64,480134528.0
GraphSAGE,0.5,50,0.005,64,7735.5048828125
GIN,0.5,50,0.005,64,8585.1650390625
GCN,0.5,50,0.005,128,7705.20458984375
GAT,0.5,50,0.005,128,1131414421504.0
GraphSAGE,0.5,50,0.005,128,7717.81298828125
GIN,0.5,50,0.005,128,9001965568.0
GCN,0.5,50,0.001,16,7651.35302734375
GAT,0.5,50,0.001,16,43208.65625
GraphSAGE,0.5,50,0.001,16,7705.3046875
GIN,0.5,50,0.001,16,7395.712890625
GCN,0.5,50,0.001,32,7704.79833984375
GAT,0.5,50,0.001,32,115778800.0
GraphSAGE,0.5,50,0.001,32,7763.67236328125
GIN,0.5,50,0.001,32,7443.693359375
GCN,0.5,50,0.001,64,7691.826171875
GAT,0.5,50,0.001,64,4472293888.0
GraphSAGE,0.5,50,0.001,64,7746.26904296875
GIN,0.5,50,0.001,64,22765376.0
GCN,0.5,50,0.001,128,7701.6904296875
GAT,0.5,50,0.001,128,136776744960.0
GraphSAGE,0.5,50,0.001,128,7751.166015625
GIN,0.5,50,0.001,128,32451.736328125
GCN,0.5,50,0.0005,16,7273.45458984375
GAT,0.5,50,0.0005,16,2425034240.0
GraphSAGE,0.5,50,0.0005,16,7801.57568359375
GIN,0.5,50,0.0005,16,7565.61572265625
GCN,0.5,50,0.0005,32,7708.62548828125
GAT,0.5,50,0.0005,32,3658697216.0
GraphSAGE,0.5,50,0.0005,32,7752.51416015625
GIN,0.5,50,0.0005,32,7520.41259765625
GCN,0.5,50,0.0005,64,7694.609375
GAT,0.5,50,0.0005,64,57423228928.0
GraphSAGE,0.5,50,0.0005,64,7758.9287109375
GIN,0.5,50,0.0005,64,39514.77734375
GCN,0.5,50,0.0005,128,7683.09716796875
GAT,0.5,50,0.0005,128,20475893776384.0
GraphSAGE,0.5,50,0.0005,128,7747.9931640625
GIN,0.5,50,0.0005,128,13631.0419921875
GCN,0.5,50,0.0001,16,4050.8974609375
GAT,0.5,50,0.0001,16,386073856.0
GraphSAGE,0.5,50,0.0001,16,7715.712890625
GIN,0.5,50,0.0001,16,7545.998046875
GCN,0.5,50,0.0001,32,7581.6728515625
GAT,0.5,50,0.0001,32,17819946.0
