Model,Learning Rate,Epochs,Weight Decay,Hidden Channels,MSE,Torch MSE,MAE,R2,RMSE,EV Score
GCN,0.05,50,0.05,32,1216.0829,1216.082763671875,24.105717,0.518579079835826,34.87238,0.520844646862575
GAT,0.05,50,0.05,32,1558.0118,1558.01171875,29.170467,0.33471861467919667,39.471657,0.3490576148033142
GraphSAGE,0.05,50,0.05,32,1131.5944,1131.5943603515625,23.342716,0.4471351131697118,33.63918,0.4544076536382948
GIN,0.05,50,0.05,32,2846.1921,2846.192138671875,39.86502,-0.09173580847253496,53.349716,0.13552549481391907
GCN,0.05,50,0.05,64,1693.0266,1693.0267333984375,30.095356,0.3313362733641182,41.146404,0.3444151665483202
GAT,0.05,50,0.05,64,5533.9727,5533.9716796875,50.363987,-0.9711679061820874,74.39068,5.960464477539063e-08
GraphSAGE,0.05,50,0.05,64,1282.378,1282.3780517578125,25.281864,0.3968827471761816,35.810307,0.42942859871046885
GIN,0.05,50,0.05,64,1624.6918,1624.6917724609375,29.844263,0.35257393603634407,40.307465,0.44566141281809124
GCN,0.05,50,0.05,128,1571.0593,1571.059326171875,27.838993,0.4014974785187534,39.63659,0.40318634254591806
GAT,0.05,50,0.05,128,4829.594,4829.5947265625,53.07708,-1.959707170525645,69.495285,-1.0990515351295471
GraphSAGE,0.05,50,0.05,128,749.8509,749.8508911132812,19.367136,0.6611047072289659,27.383406,0.6667543734822955
GIN,0.05,50,0.05,128,1512.4982,1512.498291015625,27.952322,0.3835548081164233,38.89085,0.4821021854877472
GCN,0.05,50,0.05,256,1592.5236,1592.5234375,28.03623,0.3663572004001385,39.906437,0.3748771974018642
GAT,0.05,50,0.05,256,5543.1064,5543.1064453125,49.659477,-1.0251190281484026,74.45204,-0.14158452408654348
GraphSAGE,0.05,50,0.05,256,1105.6522,1105.6522216796875,22.773907,0.45302030813396676,33.25135,0.4591013959475926
GIN,0.05,50,0.05,256,2075.1252,2075.125244140625,29.168203,0.2537675612400328,45.553543,0.4382192237036569
GCN,0.05,50,0.05,512,1719.7985,1719.7984619140625,29.955067,0.3051705656737411,41.47045,0.31160129393850056
GAT,0.05,50,0.05,512,924339.7,924339.875,617.9018,-814.3285063634685,961.42584,-176.13049507141113
GraphSAGE,0.05,50,0.05,512,2052.3826,2052.3828125,34.471622,0.13360627003257577,45.30323,0.24216597420828684
GIN,0.05,50,0.05,512,2058.7202,2058.719970703125,29.046457,0.21029465051677482,45.373123,0.29476464220455717
GCN,0.05,50,0.005,32,1499.4349,1499.434814453125,26.874266,0.41156099851322675,38.722538,0.4129066893032619
GAT,0.05,50,0.005,32,1824.5198,1824.519775390625,31.735964,0.2262874162362307,42.714397,0.24525864635195052
GraphSAGE,0.05,50,0.005,32,3891.058,3891.057861328125,41.83674,-0.3998515526026634,62.378345,8.514949253627232e-09
GIN,0.05,50,0.005,32,2748.857,2748.85693359375,38.31791,-0.0636570199276367,52.429543,0.1145859786442348
GCN,0.05,50,0.005,64,1503.2142,1503.2144775390625,26.830418,0.42910853454981707,38.771305,0.4319353018488203
GAT,0.05,50,0.005,64,5594.9556,5594.95556640625,50.495823,-1.001708848210158,74.79944,2.5544847760881695e-08
GraphSAGE,0.05,50,0.005,64,1194.0579,1194.05810546875,23.897806,0.423140533723155,34.55514,0.44036729846681866
GIN,0.05,50,0.005,64,1309.4609,1309.4609375,24.876856,0.4803473071777689,36.186474,0.5145879217556545
GCN,0.05,50,0.005,128,1571.1184,1571.11865234375,28.075418,0.3818390948179354,39.637337,0.38831184591565815
GAT,0.05,50,0.005,128,5176.3433,5176.3427734375,49.61048,-0.9021547375091323,71.94681,2.9802322387695312e-08
GraphSAGE,0.05,50,0.005,128,1206.1283,1206.1285400390625,24.40056,0.42193309298848364,34.72936,0.43149187735148836
GIN,0.05,50,0.005,128,2477.9253,2477.925537109375,33.03849,0.029893074772708146,49.778763,0.3547515869140625
GCN,0.05,50,0.005,256,1627.2396,1627.239501953125,29.35943,0.3661278072096431,40.339058,0.3813068313258035
GAT,0.05,50,0.005,256,5202.066,5202.06591796875,48.32002,-0.8432132464407026,72.12535,-0.011043284620557512
GraphSAGE,0.05,50,0.005,256,6692.5103,6692.51123046875,54.911434,-1.4147360261558901,81.80776,-2.128737313406808e-08
GIN,0.05,50,0.005,256,1146.8578,1146.85791015625,24.216019,0.5592586496646331,33.865288,0.5712848007678986
GCN,0.05,50,0.005,512,2164.6726,2164.67236328125,33.647316,0.1285499263612947,46.526043,0.15301678436143057
GAT,0.05,50,0.005,512,16043.351,16043.349609375,84.748,-10.32991600689107,126.662346,-8.967118842261177
GraphSAGE,0.05,50,0.005,512,1632.7965,1632.7965087890625,27.53222,0.31637839500507553,40.407875,0.3596108002322061
GIN,0.05,50,0.005,512,4686.8,4686.79931640625,46.687603,-0.6327856119765098,68.460205,-0.09240637932504926
GCN,0.05,50,0.0005,32,1561.2614,1561.26171875,27.404835,0.37390267225797597,39.5128,0.3746350790773119
GAT,0.05,50,0.0005,32,2039.6532,2039.653564453125,33.115776,0.1434397736856726,45.16252,0.16431031908307756
GraphSAGE,0.05,50,0.0005,32,453.09213,453.0921630859375,15.404167,0.7444987699310841,21.285961,0.7488248859133039
GIN,0.05,50,0.0005,32,1664.8577,1664.8580322265625,28.789215,0.2909725505814084,40.802666,0.2974275265421186
GCN,0.05,50,0.0005,64,1654.3746,1654.374755859375,29.361795,0.34080786411319386,40.674004,0.350118168762752
GAT,0.05,50,0.0005,64,2583.1167,2583.1162109375,38.54717,-0.27564011226030855,50.82437,-0.06582194566726685
GraphSAGE,0.05,50,0.0005,64,706.9541,706.9539184570312,18.550457,0.6549807468844752,26.588608,0.6610289216041565
GIN,0.05,50,0.0005,64,1581.4817,1581.481689453125,27.646683,0.3751537219478391,39.76785,0.43378408891814096
GCN,0.05,50,0.0005,128,1916.3704,1916.37060546875,32.232445,0.20513157791296208,43.776367,0.21567818096705846
GAT,0.05,50,0.0005,128,6066.438,6066.4375,52.813984,-1.1997913225005987,77.887344,6.811959402901785e-08
GraphSAGE,0.05,50,0.0005,128,709.5527,709.5526733398438,18.665045,0.6614214823614958,26.63743,0.6652912242071969
GIN,0.05,50,0.0005,128,1276.4121,1276.412109375,24.95609,0.4807722416149825,35.72691,0.483404027564185
GCN,0.05,50,0.0005,256,1613.0721,1613.072021484375,28.17447,0.37298018572127195,40.16307,0.38504986252103535
GAT,0.05,50,0.0005,256,751434.5,751434.375,799.6553,-487.6654940890312,866.8532,-66.19985389709473
GraphSAGE,0.05,50,0.0005,256,757.5019,757.5018920898438,19.84296,0.6305781377354827,27.522753,0.6378812662192753
GIN,0.05,50,0.0005,256,1450.0413,1450.041259765625,25.451452,0.44373510574240316,38.079407,0.459383772952216
GCN,0.05,50,0.0005,512,2023.6521,2023.6519775390625,32.1039,0.18735334430910155,44.98502,0.21412477322987147
GAT,0.05,50,0.0005,512,85332.86,85332.8515625,202.44179,-63.88106186513527,292.1179,-48.951310702732634
GraphSAGE,0.05,50,0.0005,512,1529.2346,1529.23486328125,28.409613,0.2096099872037188,39.10543,0.253267377614975
GIN,0.05,50,0.0005,512,1119987.9,1119988.0,213.66585,-421.8790173425048,1058.2948,-401.2405167307173
GCN,0.05,50,5e-05,32,1378.3,1378.3001708984375,25.830189,0.45998542606652965,37.125465,0.4614176707608359
GAT,0.05,50,5e-05,32,5579.507,5579.5068359375,49.298023,-1.0168025775932104,74.6961,2.5544847760881695e-08
GraphSAGE,0.05,50,5e-05,32,1130.3053,1130.305419921875,23.854824,0.4541708638049228,33.620014,0.45773564491953167
GIN,0.05,50,5e-05,32,2614.3862,2614.38623046875,36.562695,0.02295587848184271,51.13107,0.2858770021370479
GCN,0.05,50,5e-05,64,1949.2224,1949.2222900390625,33.321266,0.19622859938777076,44.149998,0.21876249143055507
GAT,0.05,50,5e-05,64,3028.9106,3028.91064453125,39.71709,-0.2643497713848462,55.03554,-0.10862069896289281
GraphSAGE,0.05,50,5e-05,64,4120.5693,4120.56884765625,42.76047,-0.44951002427308523,64.19166,1.7029898507254463e-08
GIN,0.05,50,5e-05,64,1671.3135,1671.3133544921875,29.186563,0.3318628093395067,40.881702,0.37503683992794584
GCN,0.05,50,5e-05,128,1938.9161,1938.916259765625,31.880972,0.19725215471817287,44.033127,0.20228111743927002
GAT,0.05,50,5e-05,128,5194.602,5194.6015625,50.060688,-0.9365083540971983,72.073586,-0.020489569221224104
GraphSAGE,0.05,50,5e-05,128,1237.3699,1237.369873046875,24.847275,0.4156330574706753,35.17627,0.4304925969668797
GIN,0.05,50,5e-05,128,5370.9375,5370.93798828125,54.588966,-0.9400549011574304,73.28668,0.05484470725059509
GCN,0.05,50,5e-05,256,1654.0625,1654.0623779296875,29.42036,0.327963521899703,40.670166,0.3369087449141911
GAT,0.05,50,5e-05,256,35849.77,35849.7734375,151.28426,-23.95320113144985,189.34035,-18.615997655051096
GraphSAGE,0.05,50,5e-05,256,1936.7239,1936.723876953125,29.739653,0.18143991728625242,44.008224,0.21787756255694798
GIN,0.05,50,5e-05,256,1809.5579,1809.5579833984375,28.245752,0.34301376519402343,42.5389,0.39837339520454407
GCN,0.05,50,5e-05,512,2110.7244,2110.724609375,34.47434,0.13379451039022086,45.94262,0.17304357034819468
GAT,0.05,50,5e-05,512,25952.012,25952.01171875,133.12929,-18.613751048560136,161.09628,-4.971569776535034
GraphSAGE,0.05,50,5e-05,512,1614.4153,1614.4151611328125,29.917301,0.3354510298067622,40.179787,0.36116061891828266
GIN,0.05,50,5e-05,512,1430.2037,1430.2037353515625,25.840366,0.46433969872037384,37.818035,0.47987009797777447
GCN,0.05,100,0.05,32,1194.6863,1194.6861572265625,24.001066,0.5473056502708363,34.564236,0.5482587431158338
GAT,0.05,100,0.05,32,2012.0348,2012.0345458984375,32.13912,0.20633024236381745,44.85571,0.20935850484030588
GraphSAGE,0.05,100,0.05,32,1120.8854,1120.8853759765625,23.312918,0.4547496003087215,33.479626,0.4571266940661839
GIN,0.05,100,0.05,32,879.5367,879.5367431640625,20.068209,0.6576485149158717,29.656984,0.6942205769675118
GCN,0.05,100,0.05,64,1867.267,1867.2669677734375,31.093342,0.21815547633297605,43.211884,0.22058824130467006
GAT,0.05,100,0.05,64,1707.1755,1707.17529296875,29.91187,0.2934769452383663,41.31798,0.30084592955453054
GraphSAGE,0.05,100,0.05,64,1111.951,1111.9508056640625,23.213062,0.45717161400703255,33.34593,0.45889033164296833
GIN,0.05,100,0.05,64,863.6663,863.6661987304688,20.011887,0.6829912104080921,29.3882,0.7299814139093671
GCN,0.05,100,0.05,128,1529.3925,1529.3924560546875,27.041285,0.4141565039825175,39.10745,0.41517639585903715
GAT,0.05,100,0.05,128,5261.726,5261.72607421875,48.683907,-0.9386540408070674,72.53776,-0.02428754312651498
GraphSAGE,0.05,100,0.05,128,1111.0371,1111.0369873046875,23.502092,0.46660521467728716,33.332222,0.46829899294035776
GIN,0.05,100,0.05,128,906.48865,906.4885864257812,20.047153,0.6618311632812387,30.10795,0.7608925529888698
GCN,0.05,100,0.05,256,1497.1759,1497.176025390625,26.539953,0.4147452437475944,38.693356,0.4344977949346815
GAT,0.05,100,0.05,256,4351.9956,4351.99609375,48.368114,-1.0941507909633075,65.96966,-1.0490888101713998
GraphSAGE,0.05,100,0.05,256,1207.2177,1207.2176513671875,24.734747,0.4235978850053005,34.745037,0.4320523015090397
GIN,0.05,100,0.05,256,1245.0712,1245.0709228515625,23.416296,0.48535407391536095,35.285564,0.6359555636133466
GCN,0.05,100,0.05,512,1550.0348,1550.0347900390625,27.565262,0.37771003644407114,39.37048,0.38153047221047537
GAT,0.05,100,0.05,512,8561.4,8561.4013671875,65.82647,-3.913584552101668,92.52783,-3.840855700629098
GraphSAGE,0.05,100,0.05,512,1531.3899,1531.39013671875,27.966,0.3769618322740339,39.132977,0.395756938627788
GIN,0.05,100,0.05,512,795377.6,795377.6875,615.5562,-312.9521832097134,891.8395,-130.41359567642212
GCN,0.05,100,0.005,32,1091.2853,1091.2852783203125,22.524977,0.5976375272690119,33.034607,0.5992844275065831
GAT,0.05,100,0.005,32,1706.2711,1706.2708740234375,28.771711,0.3613353773243326,41.307034,0.3645766292299543
GraphSAGE,0.05,100,0.005,32,578.4025,578.4025268554688,17.01556,0.6928153010858461,24.050001,0.6945305934974125
GIN,0.05,100,0.005,32,959.4926,959.4924926757812,22.147879,0.6035026344495465,30.975677,0.6290207292352404
GCN,0.05,100,0.005,64,1282.9889,1282.9888916015625,25.521801,0.497902268139081,35.818836,0.5263875637735639
GAT,0.05,100,0.005,64,2269.0225,2269.0224609375,34.836716,0.11818424300493102,47.63426,0.12293160813195365
GraphSAGE,0.05,100,0.005,64,780.0578,780.0578002929688,18.421757,0.6721087179651057,27.929514,0.6734394090516227
GIN,0.05,100,0.005,64,642.61707,642.6170654296875,17.02221,0.7370353046087662,25.349894,0.7563779992716653
GCN,0.05,100,0.005,128,1333.2395,1333.2393798828125,24.909803,0.502006841960171,36.513554,0.5030381722109658
GAT,0.05,100,0.005,128,5000.1587,5000.15673828125,48.436897,-0.8110231018633248,70.7118,6.389192172459193e-05
GraphSAGE,0.05,100,0.005,128,1105.049,1105.049072265625,23.059458,0.4584059371589704,33.242275,0.46039570229394094
GIN,0.05,100,0.005,128,680.56635,680.5662231445312,17.258724,0.7171904335802287,26.087667,0.7447662779263088
GCN,0.05,100,0.005,256,1345.7836,1345.7835693359375,24.541767,0.4931735058002932,36.68492,0.502859081540789
GAT,0.05,100,0.005,256,8743.644,8743.642578125,70.063126,-4.253707834719017,93.507454,-4.133520662784576
GraphSAGE,0.05,100,0.005,256,1123.5486,1123.548583984375,23.433346,0.44294770552241974,33.519375,0.4480211819921221
GIN,0.05,100,0.005,256,689.1986,689.1985473632812,18.266521,0.724523073683165,26.252592,0.7426197017942157
GCN,0.05,100,0.005,512,1581.4447,1581.44482421875,28.740839,0.3890967624699236,39.767384,0.4000154903956822
GAT,0.05,100,0.005,512,4813.096,4813.095703125,46.535793,-0.7369069260167923,69.37648,3.4059797014508927e-08
GraphSAGE,0.05,100,0.005,512,1716.0961,1716.09619140625,29.110437,0.2671501886864444,41.42579,0.2929131644112723
GIN,0.05,100,0.005,512,1451.9308,1451.9307861328125,24.411457,0.4821925554797014,38.10421,0.5331922897270748
GCN,0.05,100,0.0005,32,1335.1738,1335.1739501953125,24.993967,0.47738865486579946,36.54003,0.48133568678583416
GAT,0.05,100,0.0005,32,1155.444,1155.4439697265625,23.779428,0.5392607716950276,33.99182,0.5514398472649711
GraphSAGE,0.05,100,0.0005,32,1115.5657,1115.565673828125,23.290255,0.4554487412576545,33.400085,0.4575528417314802
GIN,0.05,100,0.0005,32,7439.1807,7439.18115234375,31.696537,-2.8925045608777586,86.25069,-2.7831804369177138
GCN,0.05,100,0.0005,64,2507.271,2507.270751953125,33.120872,-0.0033313471883977025,50.07266,0.21520318729536875
GAT,0.05,100,0.0005,64,2327.9158,2327.915771484375,34.747726,0.03983741771154311,48.248478,0.04865947365760803
GraphSAGE,0.05,100,0.0005,64,1169.7102,1169.710205078125,24.04097,0.448267481098405,34.201027,0.44941131131989615
GIN,0.05,100,0.0005,64,896.8952,896.8953247070312,21.003088,0.6538142532298704,29.948208,0.7009548119136265
GCN,0.05,100,0.0005,128,1895.9767,1895.9769287109375,31.608429,0.21292562211937158,43.542816,0.21546495812279837
GAT,0.05,100,0.0005,128,2600.0415,2600.04150390625,39.134884,-0.15568003148186232,50.9906,-0.13223193372998918
GraphSAGE,0.05,100,0.0005,128,656.1227,656.122802734375,17.883442,0.6650665561459267,25.614891,0.6685109734535217
GIN,0.05,100,0.0005,128,682.1243,682.1243896484375,17.75942,0.7084656867167235,26.11751,0.7227922677993774
GCN,0.05,100,0.0005,256,1528.7129,1528.712890625,28.052744,0.4050828455255632,39.09876,0.41084562454904827
GAT,0.05,100,0.0005,256,6095.6333,6095.6328125,61.2877,-2.464364565639293,78.07454,-2.302171068532126
GraphSAGE,0.05,100,0.0005,256,1433.5529,1433.552978515625,27.026611,0.3627249737823372,37.86229,0.3836863168648311
GIN,0.05,100,0.0005,256,1248.8524,1248.8524169921875,23.002855,0.47890127983659747,35.339108,0.5349749667303902
GCN,0.05,100,0.0005,512,1815.5208,1815.520751953125,30.224228,0.2824822090242332,42.60893,0.2845286088330405
GAT,0.05,100,0.0005,512,11750.811,11750.8095703125,73.40202,-5.916125607018581,108.40115,-4.102484941482544
GraphSAGE,0.05,100,0.0005,512,1520.0914,1520.0911865234375,27.58266,0.3363840189867053,38.98835,0.34162212695394245
GIN,0.05,100,0.0005,512,369.7549,369.75494384765625,13.19233,0.8349341342194526,19.229012,0.836895397731236
GCN,0.05,100,5e-05,32,1264.259,1264.259033203125,24.785944,0.5111839481570654,35.55642,0.5207271022456033
GAT,0.05,100,5e-05,32,1729.8098,1729.81005859375,28.607264,0.30105389019586076,41.59098,0.30661655323846
GraphSAGE,0.05,100,5e-05,32,315.07474,315.0747375488281,12.650577,0.8093913999632651,17.750345,0.8121576990400042
GIN,0.05,100,5e-05,32,626.9307,626.9307250976562,18.10602,0.7287180351837318,25.038586,0.7671810218266079
GCN,0.05,100,5e-05,64,1769.9323,1769.93212890625,30.654669,0.24992763637271112,42.070564,0.2533355568136488
GAT,0.05,100,5e-05,64,1366.9062,1366.9063720703125,25.413715,0.3951900052623086,36.971695,0.398259448153632
GraphSAGE,0.05,100,5e-05,64,1139.0198,1139.019775390625,23.685411,0.4493398853226443,33.749367,0.4522555342742375
GIN,0.05,100,5e-05,64,903.3591,903.3592529296875,19.514742,0.6625580014654103,30.055933,0.6887270595346179
GCN,0.05,100,5e-05,128,1818.0671,1818.0673828125,30.822826,0.23269207902553485,42.638798,0.2358106459890093
GAT,0.05,100,5e-05,128,2189.073,2189.07275390625,34.6496,0.04675722809501986,46.78753,0.14758013827460154
GraphSAGE,0.05,100,5e-05,128,1173.4413,1173.441162109375,24.122412,0.43499180345045385,34.255527,0.4407396359103067
GIN,0.05,100,5e-05,128,891.2518,891.251708984375,20.640352,0.6463152828855573,29.85384,0.6972236548151288
GCN,0.05,100,5e-05,256,1724.9539,1724.9537353515625,29.810947,0.31000896974789555,41.532562,0.3156486025878361
GAT,0.05,100,5e-05,256,2936.8992,2936.89892578125,41.996677,-0.6380312152466959,54.193165,-0.5937771456582206
