Model,Learning Rate,Epochs,Weight Decay,Hidden Channels,Test Results
GCN,0.05,50,0.05,32,"{'mse': 2045.5708, 'torch_mse': 2045.5709228515625, 'mae': 33.706924, 'r2': 0.25764321279505337, 'rmse': 45.227985, 'ev_score': 0.2614513039588928, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[ 79.08929 ,  60.922478,  25.020802, ...,  40.18927 , 107.7013  ,
         12.130121],
       [ 80.810814,  62.24537 ,  25.577246, ...,  41.060505, 110.02504 ,
         12.405997],
       [ 74.56337 ,  57.444572,  23.557909, ...,  37.898792, 101.592186,
         11.404852],
       ...,
       [ 74.20658 ,  57.170395,  23.442583, ...,  37.718224, 101.11058 ,
         11.347673],
       [115.87871 ,  89.19305 ,  36.9121  , ...,  58.80767 , 157.36009 ,
         18.025578],
       [109.02597 ,  83.92712 ,  34.697117, ...,  55.33963 , 148.1102  ,
         16.927435]], dtype=float32)}"
GAT,0.05,50,0.05,32,"{'mse': 5011.903, 'torch_mse': 5011.90283203125, 'mae': 51.47397, 'r2': -0.661297898973299, 'rmse': 70.79479, 'ev_score': -0.11319485306739807, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[ 1.29898131e+00,  1.93213797e+00, -3.13126731e+00, ...,
         8.56520355e-01,  2.12302744e-01, -3.02216697e+00],
       [ 1.54653254e+01,  1.35448914e+01,  4.72269297e+00, ...,
         8.47359657e+00,  2.16581917e+01,  4.12853575e+00],
       [ 1.54653254e+01,  1.35448914e+01,  4.72269297e+00, ...,
         8.47359657e+00,  2.16581917e+01,  4.12853575e+00],
       ...,
       [ 1.03536865e+02, -2.77487450e+01,  1.28748901e+02, ...,
         2.51433945e+01,  2.28587891e+02,  5.80683136e+01],
       [ 6.12608261e+01,  5.10854034e+01,  3.01121693e+01, ...,
         3.30972786e+01,  9.09862595e+01,  2.72445927e+01],
       [ 1.29898131e+00,  1.93213797e+00, -3.13126731e+00, ...,
         8.56520355e-01,  2.12302744e-01, -3.02216697e+00]], dtype=float32)}"
GraphSAGE,0.05,50,0.05,32,"{'mse': 6193.6777, 'torch_mse': 6193.67626953125, 'mae': 53.07713, 'r2': -0.9473283114001324, 'rmse': 78.69992, 'ev_score': 0.0, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[11.157449 , 10.267662 ,  6.0300817, ...,  8.267313 , 13.425103 ,
         4.393547 ],
       [11.157449 , 10.267662 ,  6.0300817, ...,  8.267313 , 13.425103 ,
         4.393547 ],
       [11.157449 , 10.267662 ,  6.0300817, ...,  8.267313 , 13.425103 ,
         4.393547 ],
       ...,
       [11.157449 , 10.267662 ,  6.0300817, ...,  8.267313 , 13.425103 ,
         4.393547 ],
       [11.157449 , 10.267662 ,  6.0300817, ...,  8.267313 , 13.425103 ,
         4.393547 ],
       [11.157449 , 10.267662 ,  6.0300817, ...,  8.267313 , 13.425103 ,
         4.393547 ]], dtype=float32)}"
GIN,0.05,50,0.05,32,"{'mse': 1924.1313, 'torch_mse': 1924.1309814453125, 'mae': 32.50633, 'r2': 0.30606656985471353, 'rmse': 43.86492, 'ev_score': 0.31966332097848255, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[ 83.2566  ,  63.87984 ,  38.584957, ...,  47.37137 , 119.90634 ,
         25.076914],
       [ 76.73357 ,  55.23489 ,  25.582693, ...,  34.190376, 107.948204,
         15.946446],
       [ 66.024475,  46.667263,  16.528177, ...,  25.48949 ,  90.70003 ,
          8.9949  ],
       ...,
       [ 30.239105,  23.18151 ,  10.509905, ...,  14.336055,  43.543255,
          5.920514],
       [145.82922 , 112.46778 ,  75.768425, ...,  89.37784 , 215.80867 ,
         48.184147],
       [123.2721  ,  94.94717 ,  62.665398, ...,  74.297005, 181.33029 ,
         40.09444 ]], dtype=float32)}"
GCN,0.05,50,0.05,64,"{'mse': 1776.5753, 'torch_mse': 1776.5758056640625, 'mae': 30.64503, 'r2': 0.3925366026063724, 'rmse': 42.14944, 'ev_score': 0.3953338712453842, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[ 79.98246   ,  46.892704  ,  -2.761055  , ...,  19.587433  ,
        124.22647   ,  -1.0321696 ],
       [ 75.62069   ,  44.70802   ,  -1.9526263 , ...,  19.091438  ,
        117.099304  ,  -0.58198655],
       [ 72.40806   ,  36.314075  , -13.242714  , ...,   8.480953  ,
        118.161934  ,  -7.343497  ],
       ...,
       [ 73.077866  ,  64.391556  ,  36.09865   , ...,  51.357742  ,
         93.13622   ,  22.757925  ],
       [103.84043   ,  81.22148   ,  32.94657   , ...,  57.064568  ,
        142.05879   ,  21.148586  ],
       [ 90.05881   ,  50.7156    ,  -6.8236294 , ...,  18.831741  ,
        141.8483    ,  -3.420068  ]], dtype=float32)}"
GAT,0.05,50,0.05,64,"{'mse': 5629.3022, 'torch_mse': 5629.302734375, 'mae': 50.57399, 'r2': -0.7802628088765514, 'rmse': 75.02868, 'ev_score': -0.16510729491710663, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[ 5.995765 ,  5.392546 ,  5.050995 , ...,  5.3347793,  6.47761  ,
         1.511081 ],
       [ 5.995765 ,  5.392546 ,  5.050995 , ...,  5.3347793,  6.47761  ,
         1.511081 ],
       [ 5.995765 ,  5.392546 ,  5.050995 , ...,  5.3347793,  6.47761  ,
         1.511081 ],
       ...,
       [ 5.995765 ,  5.392546 ,  5.050995 , ...,  5.3347793,  6.47761  ,
         1.511081 ],
       [93.585464 , 77.323074 , 41.04657  , ..., 39.37981  , 96.42487  ,
        33.148117 ],
       [ 5.995765 ,  5.392546 ,  5.050995 , ...,  5.3347793,  6.47761  ,
         1.511081 ]], dtype=float32)}"
GraphSAGE,0.05,50,0.05,64,"{'mse': 1294.5513, 'torch_mse': 1294.551025390625, 'mae': 25.604736, 'r2': 0.4793737969015091, 'rmse': 35.979874, 'ev_score': 0.48185964425404865, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[141.85545  , 106.609505 ,  47.22015  , ...,  77.55377  ,
        179.66692  ,  28.2856   ],
       [ 37.19996  ,  30.639845 ,   9.659431 , ...,  19.461159 ,
         56.112125 ,  -3.9443386],
       [ 51.51733  ,  40.55845  ,  15.720079 , ...,  27.638489 ,
         70.49753  ,   3.9004765],
       ...,
       [ 19.549625 ,  16.25686  ,   4.6795416, ...,  10.064233 ,
         30.403091 ,  -3.2419362],
       [ 93.575966 ,  74.14614  ,  28.537254 , ...,  50.309387 ,
        128.93988  ,   6.0075045],
       [ 76.65414  ,  62.28571  ,  21.655275 , ...,  40.735706 ,
        111.210014 ,  -2.2303758]], dtype=float32)}"
GIN,0.05,50,0.05,64,"{'mse': 1718.5786, 'torch_mse': 1718.5784912109375, 'mae': 29.580956, 'r2': 0.41739194435583205, 'rmse': 41.45574, 'ev_score': 0.4613630324602127, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[ 8.30347366e+01,  4.25867424e+01,  1.72273666e-01, ...,
        -9.41230893e-01,  1.57788574e+02, -2.27831155e-01],
       [ 6.58667450e+01,  4.15340195e+01,  2.73197222e+00, ...,
         1.19870796e+01,  1.12141426e+02, -1.40143728e+00],
       [ 7.13537292e+01,  3.22059593e+01, -6.76162434e+00, ...,
        -1.26150761e+01,  1.28039307e+02,  2.28794456e+00],
       ...,
       [ 1.99315205e+01,  1.25635672e+01,  3.33442974e+00, ...,
         5.52380419e+00,  3.52071381e+01,  1.45184547e-01],
       [ 1.70680450e+02,  1.54236176e+02,  1.01472412e+02, ...,
         1.50959122e+02,  2.50317017e+02,  2.18561687e+01],
       [ 9.59602127e+01,  5.88984718e+01,  2.82747803e+01, ...,
         3.02633286e+01,  2.00864044e+02, -1.26554418e+00]], dtype=float32)}"
GCN,0.05,50,0.05,128,"{'mse': 2143.5671, 'torch_mse': 2143.56689453125, 'mae': 33.95402, 'r2': 0.22575024384924058, 'rmse': 46.29867, 'ev_score': 0.227036252617836, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[ 82.71948  ,  63.214626 ,  22.469374 , ...,  42.969723 ,
        115.668    ,   8.4389715],
       [ 77.8835   ,  59.49837  ,  21.099648 , ...,  40.416824 ,
        108.91385  ,   7.8958397],
       [ 73.70631  ,  56.28839  ,  19.916525 , ...,  38.21171  ,
        103.0798   ,   7.426694 ],
       ...,
       [ 73.62195  ,  56.22357  ,  19.892633 , ...,  38.16718  ,
        102.962    ,   7.417222 ],
       [103.93383  ,  79.51691  ,  28.478033 , ...,  54.16866  ,
        145.29683  ,  10.821592 ],
       [ 91.151405 ,  69.694176 ,  24.8576   , ...,  47.420895 ,
        127.444374 ,   9.385972 ]], dtype=float32)}"
GAT,0.05,50,0.05,128,"{'mse': 5123.3037, 'torch_mse': 5123.3046875, 'mae': 50.76634, 'r2': -0.7792622962195352, 'rmse': 71.577255, 'ev_score': -0.40566378831863403, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[ 27.869991 ,  87.05884  ,  22.364557 , ..., -16.393154 ,
         41.147015 ,  35.080647 ],
       [ 36.587074 , 123.4233   ,  29.138859 , ..., -27.427809 ,
         55.090775 ,  47.909794 ],
       [ 11.769976 ,  19.895441 ,   9.852746 , ...,   3.9873157,
         15.393564 ,  11.385838 ],
       ...,
       [  8.345908 ,   5.611474 ,   7.191799 , ...,   8.321729 ,
          9.916452 ,   6.3465457],
       [ 37.52688  , 127.34383  ,  29.869211 , ..., -28.617477 ,
         56.594078 ,  49.29293  ],
       [ 55.457962 , 202.1457   ,  43.80399  , ..., -51.315834 ,
         85.27648  ,  75.68257  ]], dtype=float32)}"
