Model,Learning Rate,Epochs,Weight Decay,Hidden Channels,MSE,Torch MSE,MAE,R2,RMSE,EV Score
GCN,0.05,50,0.05,32,2045.5708,2045.5709228515625,33.706924,0.25764321279505337,45.227985,0.2614513039588928
GAT,0.05,50,0.05,32,5011.903,5011.90283203125,51.47397,-0.661297898973299,70.79479,-0.11319485306739807
GraphSAGE,0.05,50,0.05,32,6193.6777,6193.67626953125,53.07713,-0.9473283114001324,78.69992,0.0
GIN,0.05,50,0.05,32,1924.1313,1924.1309814453125,32.50633,0.30606656985471353,43.86492,0.31966332097848255
GCN,0.05,50,0.05,64,1776.5753,1776.5758056640625,30.64503,0.3925366026063724,42.14944,0.3953338712453842
GAT,0.05,50,0.05,64,5629.3022,5629.302734375,50.57399,-0.7802628088765514,75.02868,-0.16510729491710663
GraphSAGE,0.05,50,0.05,64,1294.5513,1294.551025390625,25.604736,0.4793737969015091,35.979874,0.48185964425404865
GIN,0.05,50,0.05,64,1718.5786,1718.5784912109375,29.580956,0.41739194435583205,41.45574,0.4613630324602127
GCN,0.05,50,0.05,128,2143.5671,2143.56689453125,33.95402,0.22575024384924058,46.29867,0.227036252617836
GAT,0.05,50,0.05,128,5123.3037,5123.3046875,50.76634,-0.7792622962195352,71.577255,-0.40566378831863403
GraphSAGE,0.05,50,0.05,128,4639.0493,4639.048828125,47.14242,-0.49354697043300194,68.110565,-2.483526865641276e-08
GIN,0.05,50,0.05,128,2067.4883,2067.488525390625,31.635767,0.3065790053228999,45.469643,0.45174987117449444
GCN,0.05,50,0.05,256,2562.0977,2562.097900390625,41.701664,0.0539793710186842,50.61717,0.24361701806386313
GAT,0.05,50,0.05,256,6977.275,6977.27392578125,62.2137,-1.456795557296023,83.53008,-1.095183402299881
GraphSAGE,0.05,50,0.05,256,1494.27,1494.2701416015625,28.779741,0.4104095029390793,38.65579,0.4422701845566432
GIN,0.05,50,0.05,256,2192.2307,2192.23095703125,33.941986,0.19718936602068027,46.821262,0.351191778977712
GCN,0.05,50,0.05,512,2180.623,2180.623291015625,33.9237,0.24406651457930062,46.697144,0.24460357427597046
GAT,0.05,50,0.05,512,480552.66,480552.59375,513.1036,-219.2431614973619,693.21906,-91.46361414591472
GraphSAGE,0.05,50,0.05,512,2141.9075,2141.9072265625,33.196297,0.20338409351961054,46.280746,0.37122008204460144
GIN,0.05,50,0.05,512,2479.0842,2479.083740234375,38.567158,0.11982688472122914,49.7904,0.2883753925561905
GCN,0.05,50,0.005,32,1487.9043,1487.9044189453125,27.407532,0.5029890979657984,38.573364,0.5038930426041285
GAT,0.05,50,0.005,32,1907.7054,1907.705322265625,31.962446,0.3155048430700799,43.677288,0.32486554980278015
GraphSAGE,0.05,50,0.005,32,1228.7964,1228.79638671875,24.741835,0.5040133605993391,35.05419,0.5061642775932947
GIN,0.05,50,0.005,32,2153.038,2153.0380859375,32.093548,0.31941492954887174,46.40084,0.475889394680659
GCN,0.05,50,0.005,64,2178.8276,2178.82763671875,36.123028,0.21325200900167016,46.677914,0.2354937642812729
GAT,0.05,50,0.005,64,2092.7063,2092.706298828125,34.58276,0.2934564672187565,45.746105,0.31131206452846527
GraphSAGE,0.05,50,0.005,64,1297.2803,1297.2802734375,26.0888,0.4834279492715318,36.017776,0.49038932224114734
GIN,0.05,50,0.005,64,1604.1483,1604.1483154296875,28.80034,0.4476469060338299,40.05182,0.4658399522304535
GCN,0.05,50,0.005,128,2130.738,2130.738037109375,34.24726,0.22870977180319726,46.15992,0.23355108499526978
GAT,0.05,50,0.005,128,20204.877,20204.873046875,106.70597,-7.149907820821078,142.14386,-3.468942811091741
GraphSAGE,0.05,50,0.005,128,1366.1509,1366.150634765625,26.844894,0.4704229004517002,36.96148,0.4725830654303233
GIN,0.05,50,0.005,128,3718.8103,3718.809814453125,44.493404,-0.20316529490399385,60.982048,0.09879149496555328
GCN,0.05,50,0.005,256,1707.2144,1707.2142333984375,29.860174,0.42712416688477645,41.31845,0.42760410408178967
GAT,0.05,50,0.005,256,12804.961,12804.9638671875,83.01283,-4.007507025432316,113.159004,-2.9492998917897544
GraphSAGE,0.05,50,0.005,256,2034.63,2034.6298828125,31.776453,0.2694150934792967,45.106873,0.2957170655330022
GIN,0.05,50,0.005,256,26884.588,26884.591796875,90.067894,-7.326224032909248,163.96521,-5.073769370714824
GCN,0.05,50,0.005,512,2466.4426,2466.442626953125,36.54784,0.145811008673798,49.663292,0.19184504449367523
GAT,0.05,50,0.005,512,15446.77,15446.771484375,62.64358,-5.2856889767832955,124.285034,-4.206429292758306
GraphSAGE,0.05,50,0.005,512,3222.22,3222.219970703125,42.644062,-0.5535288175010405,56.764603,0.13647470871607462
GIN,0.05,50,0.005,512,3008.9417,3008.94140625,38.1483,-0.025658479307172233,54.85382,0.16674621403217316
GCN,0.05,50,0.0005,32,1693.784,1693.7838134765625,30.137375,0.4190981091991796,41.15561,0.42399969200293225
GAT,0.05,50,0.0005,32,2610.5854,2610.5859375,36.627735,0.0842331129651105,51.093887,0.10657933851083119
GraphSAGE,0.05,50,0.0005,32,1282.063,1282.06298828125,25.389458,0.4879865173637945,35.80591,0.4931980570157369
GIN,0.05,50,0.0005,32,5008.7324,5008.732421875,54.611664,-0.5986420516109978,70.7724,0.02805294593175252
GCN,0.05,50,0.0005,64,2188.1423,2188.142578125,35.192295,0.21570459992407973,46.777584,0.22236148019631705
GAT,0.05,50,0.0005,64,3229.6768,3229.676513671875,41.247574,-0.16362895262510646,56.830246,-0.056834916273752846
GraphSAGE,0.05,50,0.0005,64,785.54913,785.5491333007812,19.56429,0.708546233872963,28.027649,0.7137505809466044
GIN,0.05,50,0.0005,64,2790.916,2790.916259765625,40.494488,0.049592487686371034,52.82912,0.33077111343542737
GCN,0.05,50,0.0005,128,4747.0605,4747.06103515625,47.414993,-0.523383053317667,68.89892,-4.967053731282552e-09
GAT,0.05,50,0.0005,128,5960.6997,5960.69970703125,53.30701,-0.8746372850101868,77.20557,-1.4901161193847656e-08
GraphSAGE,0.05,50,0.0005,128,704.3746,704.37451171875,18.232187,0.7223435372280934,26.540056,0.7264065891504288
GIN,0.05,50,0.0005,128,1792.0001,1792.0003662109375,30.316206,0.37298051831766393,42.332024,0.43910308678944904
GCN,0.05,50,0.0005,256,1826.6881,1826.68798828125,31.58335,0.3728547946828087,42.739773,0.378920038541158
GAT,0.05,50,0.0005,256,3099.5632,3099.562744140625,39.04397,-0.07141916824692514,55.67372,-0.031294782956441246
GraphSAGE,0.05,50,0.0005,256,1311.6683,1311.66845703125,25.747437,0.5498366996752294,36.21696,0.5594839503367742
GIN,0.05,50,0.0005,256,6871.8706,6871.86962890625,55.933228,-1.0652114534286186,82.89674,-0.26745906968911487
GCN,0.05,50,0.0005,512,2237.5037,2237.50341796875,34.887817,0.21950292168597837,47.302258,0.22178339958190918
GAT,0.05,50,0.0005,512,191468.73,191468.734375,325.9033,-67.30717430063855,437.5714,-54.89568090438843
GraphSAGE,0.05,50,0.0005,512,2098.6606,2098.66064453125,32.670887,0.21452920091947777,45.811142,0.32710350553194684
GIN,0.05,50,0.0005,512,2360.264,2360.263671875,33.288853,0.19247278799784728,48.582546,0.2492206891377767
GCN,0.05,50,5e-05,32,1418.4385,1418.4384765625,25.883408,0.5266966824816735,37.662163,0.529872993628184
GAT,0.05,50,5e-05,32,2503.0808,2503.080810546875,36.47218,0.1267718984458839,50.0308,0.13617157936096191
