Model,Learning Rate,Epochs,Weight Decay,Hidden Channels,MSE,Torch MSE,MAE,R2,RMSE,EV Score
GCN,0.05,50,0.05,32,6.028514,1550.4713134765625,1.75499,0.9993161180887052,2.4553032,0.9993461966514587
GAT,0.05,50,0.05,32,10020.23,10020.23046875,40.43539,-0.13670711786923806,100.101105,0.045475661754608154
GraphSAGE,0.05,50,0.05,32,14.14699,2333.12841796875,2.9401858,0.9983951481593724,3.7612484,0.9983968734741211
GIN,0.05,50,0.05,32,2850.6394,6142.92333984375,16.248436,0.6766199902407394,53.39138,0.7054963707923889
GCN,0.05,50,0.05,64,25.834402,1385.951416015625,3.042917,0.9970693135845768,5.0827556,0.9978451728820801
GAT,0.05,50,0.05,64,2977.063,31185.322265625,41.27438,0.6622783780254483,54.56247,0.6628976464271545
GraphSAGE,0.05,50,0.05,64,14.660387,11599.1376953125,2.736366,0.9983369078612035,3.8288884,0.9985417127609253
GIN,0.05,50,0.05,64,1945.2578,1945.2529296875,9.826821,0.7793275695870832,44.105076,0.7844155430793762
GCN,0.05,50,0.05,128,119.94074,1490.8463134765625,8.122268,0.9863937752986198,10.951746,0.9863985776901245
GAT,0.05,50,0.05,128,15657.87,11783251.0,117.41577,-0.7762478941466064,125.13141,-0.6401300430297852
GraphSAGE,0.05,50,0.05,128,12.449404,1876.771484375,2.6515598,0.9985877245076238,3.5283713,0.9987781047821045
GIN,0.05,50,0.05,128,458.10965,698.37744140625,7.1854553,0.9480314809529554,21.403496,0.948056697845459
GCN,0.05,50,0.05,256,68.15849,1475.37646484375,7.525747,0.9922680177655664,8.2558155,0.9945154786109924
GAT,0.05,50,0.05,256,2882.405,4117064.75,42.771793,0.6730164446511135,53.688034,0.6870709657669067
GraphSAGE,0.05,50,0.05,256,5.1636133,16753.61328125,1.8778763,0.9994142334729086,2.2723584,0.9994516968727112
GIN,0.05,50,0.05,256,142.11247,4164.796875,4.5892797,0.9838785889107149,11.921094,0.9845868945121765
GCN,0.05,50,0.05,512,13.506958,1373.360107421875,2.6889482,0.9984677543580756,3.6751814,0.9985147714614868
GAT,0.05,50,0.05,512,13996.051,11901814.0,72.127464,-0.5877290228018994,118.30491,-0.19376134872436523
GraphSAGE,0.05,50,0.05,512,255.57436,5167.9521484375,15.024586,0.9710073336068316,15.986693,0.9777024984359741
GIN,0.05,50,0.05,512,34.36971,6471.14111328125,2.248886,0.9961010582806752,5.8625684,0.9961487650871277
GCN,0.05,50,0.005,32,4.116957,1266.5714111328125,1.6869267,0.9995329673843111,2.0290287,0.9995548129081726
GAT,0.05,50,0.005,32,10473.3545,70307.3046875,41.57556,-0.1881100521616168,102.33941,0.004260122776031494
GraphSAGE,0.05,50,0.005,32,19.138538,2157.502685546875,2.444944,0.9978289008867012,4.3747616,0.997977077960968
GIN,0.05,50,0.005,32,1748.5532,6309.80712890625,15.750167,0.801641984112901,41.815704,0.8276984691619873
GCN,0.05,50,0.005,64,14.156889,1369.0726318359375,2.5827813,0.9983940253147737,3.7625642,0.998684287071228
GAT,0.05,50,0.005,64,10544.914,19579.0546875,42.793293,-0.19622786493729794,102.68843,-0.009755492210388184
GraphSAGE,0.05,50,0.005,64,21.934092,8269.3515625,4.089446,0.9975117700828342,4.6833844,0.9977982044219971
GIN,0.05,50,0.005,64,321.76614,5627.16748046875,11.737841,0.9634984557825028,17.937841,0.9650726914405823
GCN,0.05,50,0.005,128,11.1755705,1881.6754150390625,2.1612058,0.9987322297158653,3.3429883,0.9987385272979736
GAT,0.05,50,0.005,128,10593.3955,16486.62109375,41.84721,-0.20172755960128508,102.924225,-0.003605961799621582
GraphSAGE,0.05,50,0.005,128,43.88857,6540.3330078125,3.4824433,0.9950212271817662,6.624845,0.9956673383712769
GIN,0.05,50,0.005,128,1567.881,5508.44921875,13.677077,0.8221376759790013,39.596478,0.839943528175354
